Name,Number in Deck,Play,Play 2,Effect,Flavor Text,Type,Expansion,Faction,Promissory Note Owner
Holy Planet of Ixth,1,When a player gains control of this planet,When a player loses control of this planet,"Elect Cultural Planet
Attach this card to the elected planet's card. The planet's owner gains 1 victory point. Units on this planet cannot use PRODUCTION. When a player gains control of this planet, they gain 1 victory point. When a player loses control of this planet, they lose 1 victory point.",,Agenda,Base,Any,
Homeland Defense Act,1,,,"FOR : Each player can have any number of PDS units on planets they control.
AGAINST : Each player destroys 1 of their PDS unit.
",,Agenda,Base,Any,
Imperial Arbiter,1,At the end of the strategy phase:,,the owner of this card may discard this card to swap 1 of their strategy cards with 1 of another player's strategy cards.,,Agenda,Base,Any,
Minister of Commerce,1,After the owner of this card replenishes commodities,,they gain 1 trade good for each player that is their neighbor.,,Agenda,Base,Any,
Minister of Exploration,1,When the owner of this card gains control of a planet:,,they gain 1 trade good.,,Agenda,Base,Any,
Minister of Industry,1,When the owner of this card places a space dock in a system,,their units in that system may use their PRODUCTION abilities.,,Agenda,Base,Any,
Minister of Peace,1,After a player activates a system that contains 1 or more of a different player's units,,the owner of this card may discard this card; immediately end the active player's turn.,,Agenda,Base,Any,
Minister of Policy,1,At the end of the status phase,,the owner of this card draws 1 action card.,,Agenda,Base,Any,
Minister of Sciences,1,"When the owner of this card resolves the primary or secondary ability of the ""Technology"" strategy card",,they do not need to spend resources to research technology.,,Agenda,Base,Any,
Minister of War,1,after performing an action,,The owner of this card may discard this card to remove 1 of their command counters from the game board and return it to their reinforcements; then they may perform 1 additional action.,,Agenda,Base,Any,
Prophecy of Ixth,1,When the owner of this card uses PRODUCTION,,they discard this card unless they produce 2 or more fighters.,,Agenda,Base,Any,
Publicize Weapon Schematics,1,,,"FOR : If any player owns a war sun technology, all players may ignore all prerequisites on war sun technologies. All war suns lose SUSTAIN DAMAGE.
AGAINST : Each player that owns a war sun technology discards all of their action cards.
",,Agenda,Base,Any,
Regulated Conscription,1,When a player produces units,,"FOR : When a player produces units, they produce only 1 fighter and infantry for its cost instead of 2.
AGAINST : No effect.
",,Agenda,Base,Any,
Research Team: Biotic,1,When the owner of this planet researches technology,,"Elect Industrial Planet
they may exhaust this card to ignore 1 green prerequisite.",,Agenda,Base,Any,
Research Team: Cybernetic,1,When the owner of this planet researches technology,,"Elect Industrial Planet
they may exhaust this card to ignore 1 yellow prerequisite.",,Agenda,Base,Any,
Research Team: Propulsion,1,When the owner of this planet researches technology,,"Elect Industrial Planet
they may exhaust this card to ignore 1 blue prerequisite.",,Agenda,Base,Any,
Research Team: Warfare,1,When the owner of this planet researches technology,,"Elect Hazardous planet
they may exhaust this card to ignore 1 red prerequisite.",,Agenda,Base,Any,
Senate Sanctuary,1,,,"Elect Cultural Planet
Attach this card to the elected planet's card.
The influence value of this planet is increased by 2.",,Agenda,Base,Any,
Shard of the Throne,1,When a player wins a combat against the owner of this card,,"Elect Player
The elected player gains this card and 1 victory point.
A player gains this card and 1 victory point when they win a combat against the owner of this card. Then, the previous owner of this card loses 1 victory point.",,Agenda,Base,Any,
Shared Research,1,,,"FOR : Each player's units can move through nebulae.
AGAINST : Each player places a command token from their reinforcements in their home system, if able.
",,Agenda,Base,Any,
Terraforming Initiative,1,,,"Elect Hazardous Planet
Attach this card to the elected planet's card.
The resource and influence values of this planet are increased by 1.",,Agenda,Base,Any,
The Crown of Thalnos,1,"During each combat round, after the Roll Dice step",,"Elect player
the owner of this card may reroll any number of dice; they must destroy each of their units that did not produce a hit with its reroll.",,Agenda,Base,Any,
The Crown of Emphidia,1,After you gain control of a planet in the home system of this card’s owner,,"Elect Player
The elected player gains this card and 1 victory point.
A player gains this card and 1 victory point after they gain control of a planet in the home system of this card's owner. Then, the previous owner of this card loses 1 victory point.",,Agenda,Base,Any,
Wormhole Reconstruction,1,,,"FOR : All systems that contain either an alpha or beta wormhole are adjacent to each other.
AGAINST : Each player places a command token from their reinforcements in each system that contains a wormhole and 1 or more of their ships.
",,Agenda,Base,Any,
Ceasefire,1,After the (color) player activates a system that contains 1 or more of your units,,"The (color) player cannot move units into the active system. Then, return this card to the (color) player.",,Promissory Note,Base,Any (except color),Color
Trade Agreement,1,When the (color) player replenishes commodities,,"The (color) player gives you all of their commodities. Then, return this card to the (color) player.",,Promissory Note,Base,Any (except color),Color
Political Secret,1,When an agenda is revealed,,"The (color) player cannot vote, play action cards, or use faction abilities until after that agenda has been resolved. Then, return this card to the (color) player. ",,Promissory Note,Base,Any (except color),Color
Support for the Throne,1,"When you receive this card, if you are not the (color) player",,"you must place it face-up in your play area and gain 1 Victory Point. If you activate a system that contains 1 or more of the (color) player's units, or if the (color) player is eliminated, lose 1 Victory Point and return this card to the (color) player. ",,Promissory Note,Base,Any (except color),Color
Alliance,1,"When you receive this card, if you are not the (color) player,",,"you must place it face up in your play area. While this card is in your play area, you can use the (color) player's commander ability, if it is unlocked. If you activate a system that contains 1 or more of the (color) player's units, return this card to the (color) player",,Promissory Note,Prophecy of Kings,Any (except color),Color
Stymie Ω,1,After another player moves ships into a system that contains 1 or more of your units,,"You may place 1 command token from that player's reinforcements in any non-home system. Then, return this card to the Arborec player ",,Promissory Note,Codex I,Any,Arborec
Strike Wing Ambuscade,1,When 1 or more of your units make a roll for a unit ability,,"Choose 1 of those units to roll 1 additional die. Then, return this card to the Argent player",,Promissory Note,Prophecy of Kings,Any,Argent Flight
War Funding Ω,1,After you and your opponent roll dice during space combat,,"You may reroll all of your opponent's dice
You may reroll any number of your dice
Then, return this card to the Letnev player
",,Promissory Note,Codex I,Any,Barony of Letnev
Ragh's Call,1,After you commit 1 or more units to land on a planet,,"Remove all of the Saar player's ground forces from that planet and place them on a planet controlled by the Saar player.
Then return this card to the Saar player. ",,Promissory Note,Base,Any,Clan of Saar
Keleres Rider,1,After an agenda is revealed,,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, draw 1 action card and gain 2 trade goods.
Then, return this card to the Keleres player.",,Promissory Note,Codex III,Any,Council Keleres
Fires of the Gashlai,1,ACTION,,"Remove 1 token from the Muaat player's fleet pool and return it to their reinforcements.
Then, gain your war sun unit upgrade technology card.
Then, return this card to the Muaat player.",,Promissory Note,Base,Any,Embers of Muaat
Trade Convoys,1,ACTION,,"Place this card face-up in your play area.
While this card is in your play area, you may negotiate transactions with players who are not your neighbor.
If you activate a system that contains 1 or more of the Hacan player's units, return this card to the Hacan player. ",,Promissory Note,Base,Any,Emirates of Hacan
Dark Pact,1,ACTION,,"Place this card face up in your play area.
When you give a number of commodities to the Empyrean player equal to your maximum commodity value, you each gain 1 trade good.
If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player.",,Promissory Note,Prophecy of Kings,Any,Empyrean
Blood Pact,1,ACTION,,"Place this card face up in your play area.
When you and the Empyrean player cast votes for the same outcome, cast 4 additional votes for that outcome.
If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player.",,Promissory Note,Prophecy of Kings,Any,Empyrean
Military Support,1,At the start of the Sol player's turn,,"Remove 1 token from the Sol player's strategy pool, if able, and return it to their reinforcements.  Then, you may place 2 infantry from your reinforcements on any planet you control. Then return this card to the Sol player.",,Promissory Note,Base,Any,Federation of Sol
Creuss Iff,1,At the start of your turn during the action phase,,"Place or move a Creuss wormhole token into either a system that contains a planet you control or a non-home system that does not contain another player's ships.
Then, return this card to the Creuss player.",,Promissory Note,Base,Any,Ghosts of Creuss
Cybernetic Enhancements Ω,1,When you gain command tokens during the status phase,,"Gain 1 additional command token
Then, return this card to the L1Z1X player",,Promissory Note,Codex I,Any,L1Z1X Mindnet
Scepter of Dominion,1,At the start of the strategy phase,,"Choose 1 non-home system that contains your units; each other player who has a token on the Mahact player's command sheet places a token from their reinforcements in that system
Then, return this card to the Mahact player",,Promissory Note,Prophecy of Kings,Any,Mahact Gene-Sorcerers
Promise of Protection,1,ACTION,,"Place this card face-up in your play area.
While this card is in your play area, the Mentak player cannot use their Pillage faction ability against you.
If you activate a system that contains 1 or more of the Mentak player's units, return this card to the Mentak player. ",,Promissory Note,Base,Any,Mentak Coalition
Gift of Prescience,1,At the end of the strategy phase,,"Place this card face-up in your play area and place the Naalu ""0"" token on your strategy card;  you are first in the initiative order.  The Naalu player cannot use their TELEPATHIC faction ability during this game round.
Return this card to the Naalu player at the end of the status phase. ",,Promissory Note,Base,Any,Naalu Collective
Black Market Forgery,1,ACTION,,"Purge 2 of your relic fragments of the same type to gain 1 relic
Then, return this card to the Naaz-Rokha player",,Promissory Note,Prophecy of Kings,Any,Naaz-Rokha Alliance
Antivirus,1,At the start of a combat,,"Place this card face-up in your play area. While this card is in your play area, the Nekro player cannot use their TECHNOLOGICAL SINGULARITY faction ability against you.
If you activate a system that contains 1 or more of the Nekro player's units, return this card to the Nekro player. ",,Promissory Note,Base,Any,Nekro Virus
The Cavalry,1,At the start of a space combat against a player other than the Nomad,,"During this combat, treat 1 of your non-fighter ships as if it has the SUSTAIN DAMAGE ability, combat value, and ANTI-FIGHTER BARRAGE value of the Nomad's flagship
Return this card to the Nomad player at the end of this combat.",,Promissory Note,Prophecy of Kings,Any,Nomad
Tekklar Legion,1,At the start of an invasion combat,,"Apply +1 to the result of each of your unit's combat rolls during this combat.  If your opponent is the N'orr player, apply -1 to the result of each of their unit's combat rolls during this combat.
Then, return this card to the N'orr player.",,Promissory Note,Base,Any,Sardakk N’orr
Terraform,1,ACTION,,"Attach this card to a non-home planet you control other than Mecatol Rex.
Its resource and influence values are each increased by 1 and it is treated as having all 3 planet traits (cultural, hazardous, and industrial)",,Promissory Note,Prophecy of Kings,Any,Titans of Ul
Research Agreement,1,After the Jol-Nar player researches a technology that is not a faction technology,,"Gain that technology.
Then, return this card to the Jol-Nar player. ",,Promissory Note,Base,Any,Universities of Jol-Nar
Crucible,1,After you activate a system,,"Your ships do not roll for gravity rifts during this movement; apply an additional +1 to the move values of your ships that would move out of or through a gravity rift instead
Then, return this card to the Vuil'raith player",,Promissory Note,Prophecy of Kings,Any,Vuil’raith Cabal
Acquiescence Ω,1,When the Winnu player resolves a strategic action,,"You do not have to spend or place a command token to resolve the secondary ability of that strategy card
Then, return this card to the Winnu player",,Promissory Note,Base,Any,Winnu
Political Favor,1,When an agenda is revealed,,"Remove 1 token from the Xxcha player's strategy pool and return it to their reinforcements.  Then, discard the revealed agenda and reveal 1 agenda from the top of the deck.  Players vote on this agenda instead.
Then, return this card to the Xxcha player. ",,Promissory Note,Base,Any,Xxcha Kingdom
Greyfire Mutagen Ω,1,At the start of a ground combat against 2 or more ground forces that are not controlled by the Yin player,,"Replace 1 of your opponent's infantry with 1 infantry from your reinforcements
Then, return this card to the Yin player",,Promissory Note,Codex I,Any,Yin Brotherhood
Spy Net,1,At the start of your turn,,"Look at the Yssaril player's hand of action cards.  Choose 1 of those cards and add it to your hand.
Then, return this card to the Yssaril player.",,Promissory Note,Base,Any,Yssaril Tribes
Neural Motivator,,,,"During the status phase, draw 2 action cards instead of 1.",,Technology,Base,Any,
Daxcive Animators,,After you win a ground combat,,you may place 1 infantry from your reinforcements on that planet,,Technology,Base,Any,
Hyper Metabolism,,,,"During the status phase, gain 3 command tokens instead of 2",,Technology,Base,Any,
X-89 Bacterial Weapon ΩΩ,,,,"Double the hits produced by your units' BOMBARDMENT and ground combat rolls.
Exhaust each planet you use BOMBARDMENT against.",,Technology,Codex IV,Any,
Bioplasmosis,,"At the end of the status phase,",,you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems.,,Technology,Base,Arborec,
Production Biomes,,ACTION,,Exhaust this card and spend 1 token from your strategy pool to gain 4 trade goods and choose 1 other player; that player gains 2 trade goods.,,Technology,Base,Emirates of Hacan,
Neuroglaive,,After another player activates a system that contains 1 or more of your ships,,that player removes 1 token from their fleet pool and returns it to their reinforcements.,,Technology,Base,Naalu Collective,
Instinct Training,,when another player plays an action card,,You may exhaust this card and spend 1 token from your strategy pool; cancel that action card.,,Technology,Base,Xxcha Kingdom,
Yin Spinner Ω,,After you produce units,,place up to 2 infantry from your reinforcements on any planet you control or in any space area that contains 1 or more of your ships,,Technology,Codex I,Yin Brotherhood,
Transparasteel Plating,,,,"During your turn of the action phase, players that have passed cannot play action cards.",,Technology,Base,Yssaril Tribes,
Mageon Implants,,ACTION,,Exhaust this card to look at another player's hand of action cards.  Choose 1 of those cards and add it to your hand.,,Technology,Base,Yssaril Tribes,
Psychoarchaeology,,During the Action Phase,,you can exhaust planets you control that have technology specialties to gain 1 Trade Good,,Technology,Prophecy of Kings,Any,
Bio-Stims,,at the end of your turn,,You may exhaust this card to ready 1 of your planets that has a technology specialty or 1 of your other technologies,,Technology,Prophecy of Kings,Any,
Voidwatch,,"After a player moves ships into a system that contains 1 or more of your units,",,"they must give you 1 promissory note from their hand, if able",,Technology,Prophecy of Kings,Empyrean,
Genetic Recombination,,before a player casts votes,,You may exhaust this card; that player must cast at least 1 vote for an outcome of your choice or remove 1 token from their fleet pool and return it to their reinforcements,,Technology,Prophecy of Kings,Mahact Gene-Sorcerers,
Pre-Fab Arcologies,,After you explore a planet,,Ready that planet.,,Technology,Prophecy of Kings,Naaz-Rokha Alliance,
Antimass Deflectors,,When other players’ units use SPACE CANNON against your units,,"Your ships can move into and through asteroid fields
When other players’ units use SPACE CANNON against your units, apply -1 to the result of each die roll",,Technology,Base,Any,
Gravity Drive,,After you activate a system,,"After you activate a system, apply +1 to the move value of 1 of your ships during this tactical action",,Technology,Base,Any,
Fleet Logistics,,,,"During each of your turns of the action phase, you may perform 2 actions instead of 1",,Technology,Base,Any,
Light/Wave Deflector,,,,Your ships can move through systems that contain other players' ships,,Technology,Base,Any,
Chaos Mapping,,At the start of your turn during the action phase,,"Other players cannot activate asteroid fields that contain 1 or more of your ships.
At the start of your turn during the action phase, you may produce 1 unit in a system that contains at least 1 of your units that has Production.",,Technology,Base,Clan of Saar,
Wormhole Generator Ω,,ACTION,,ACTION: Exhaust this card to place or move a Creuss wormhole token into either a system that contains a planet you control or a non-home system that does not contain another player's ships,,Technology,Base,Ghosts of Creuss,
Spacial Conduit Cylinder,,After you activate a system that contains 1 or more of your units,,You may exhaust this card after you activate a system that contains 1 or more of your units; that system is adjacent to all other systems that contain 1 or more of your units during this activation.,,Technology,Base,Universities of Jol-Nar,
Lazax Gate Folding,,ACTION,,"During your tactical actions, if you do not control Mecatol Rex, treat its system as if it has both an α and β wormhole. ACTION: If you control Mecatol Rex, exhaust this card to place 1 infantry from your reinforcements on Mecatol Rex",,Technology,Base,Winnu,
Dark Energy Tap,,After you perform a tactical action in a system that contains a frontier token,,"After you perform a tactical action in a system that contains a frontier token, if you have 1 or more ships in that system, explore that token
Your ships can retreat into adjacent systems that do not contain other players' units, even if you do not have units or control planets in that system.",,Technology,Prophecy of Kings,Any,
Sling Relay,,ACTION,,ACTION: Exhaust this card to produce 1 ship in any system that contains one of your space docks,,Technology,Prophecy of Kings,Any,
Aetherstream,,After you or one of your neighbors activates a system that is adjacent to an anomaly,,"After you or one of your neighbors activates a system that is adjacent to an anomaly, you may apply +1 to the move value of all of that player's ships during this tactical action",,Technology,Prophecy of Kings,Empyrean,
Sarween Tools,,When 1 or more of your units use Production,,"When 1 or more of your units use Production, reduce the combined cost of the produced units by 1",,Technology,Base,Any,
Graviton Laser System,,Before 1 or more of your units uses SPACE CANNON,,You may exhaust this card before 1 or more of your units uses Space Cannon; hits produced by those units must be assigned to non-fighter ships if able,,Technology,Base,Any,
Transit Diodes,,At the start of your turn during the action phase,,You may exhaust this card at the start of your turn during the action phase; remove up to 4 of your ground forces from the game board and place them on 1 or more planets you control.,,Technology,Base,Any,
Integrated Economy,,After you gain control of a planet,,"After you gain control of a planet, you may produce any number of units on that planet that have a combined cost equal to or less than that planet’s resource value.",,Technology,Base,Any,
L4 Disruptors,,,,"During an invasion, units cannot use Space Cannon against your units.",,Technology,Base,Barony of Letnev,
Quantum Datahub Node,,At the end of the strategy phase,,"At the end of the strategy phase, you may spend 1 token from your strategy pool and give another player 3 of your trade goods.  If you do, give 1 of your strategy cards to that player and take 1 of their strategy cards.",,Technology,Base,Emirates of Hacan,
Inheritance Systems,,When you research a technology,,You may exhaust this card and spend 2 resources when you research a technology; ignore all of that technology's prerequisites.,,Technology,Base,L1Z1X mindnet,
Salvage Operations,,After you win or lose a space combat,,"After you win or lose a space combat, gain 1 trade good; if you won the combat, you may also produce 1 ship in that system of any ship type that was destroyed during the combat.",,Technology,Base,Mentak Coalition,
Mirror Computing,,,,"When you spend trade goods, each trade good is worth 2 resources or influence instead of 1.",,Technology,Base,Mentak Coalition,
E-Res Siphons,,After another player activates a system that contains 1 or more of your ships,,"After another player activates a system that contains 1 or more of your ships, gain 4 trade goods.",,Technology,Base,Universities of Jol-Nar,
Hegemonic Trade Policy,,When 1 or more of your units use PRODUCTION,,Exhaust this card when 1 or more of your units use PRODUCTION; swap the resource and influence values of 1 planet you control until the end of your turn.,,Technology,Base,Winnu,
Nullification Field,,After another player activates a system that contains 1 or more of your ships,,"After another player activates a system that contains 1 or more of your ships, you may exhaust this card and spend 1 token from your strategy pool; immediately end that player's turn.",,Technology,Base,Xxcha Kingdom,
Impulse Core,,At the start of a space combat,,"At the start of a space combat, you may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit against your opponent's ships; that hit must be assigned by your opponent to 1 of their non-fighters ships if able.",,Technology,Base,Yin Brotherhood,
Scanlink Drone Network,,When you activate a system,,"When you activate a system, you may explore 1 planet in that system which contains 1 or more of your units",,Technology,Prophecy of Kings,Any,
Predictive Intelligence,,At the end of your turn,When you cast votes during the agenda phase,"At the end of your turn, you may exhaust this card to redistribute your command tokens
When you cast votes during the agenda phase, you may cast 3 additional votes; if you do, and the outcome you voted for is not resolved, exhaust this card",,Technology,Prophecy of Kings,Any,
Temporal Command Suite,,After any player’s agent becomes exhausted,,"After any player's agent becomes exhausted, you may exhaust this card to ready that agent; if you ready another player's agent, you may perform a transaction with that player",,Technology,Prophecy of Kings,Nomad,
Aerie Hololattice,,,,"Other players cannot move ships through systems that contain your structures
Each planet that contains 1 or more of your structures gains the PRODUCTION 1 ability as if it were a unit",,Technology,Prophecy of Kings,Argent Flight,
I.I.H.Q Modernization,,,,"You are neighbors with all players that have units or control planets in or adjacent to the Mecatol Rex system.
Gain the Custodia Vigilia planet card and its legendary planet ability card. You cannot lose these cards, and this card cannot have an X or Y assimilator token placed on it.",,Technology,Codex III,Council Keleres,
Agency Supply Network,,Whenever you resolve one of your PRODUCTION abilities,,"Whenever you resolve one of your PRODUCTION abilities, you may resolve an additional one of your PRODUCTION abilities in any system; the additional use does not trigger this ability.",,Technology,Codex III,Council Keleres,
Plasma Scoring,,When 1 or more of your units use BOMBARDMENT or SPACE CANNON,,"When 1 or more of your units use Bombardment or Space Cannon, 1 of those units may roll 1 additional die",,Technology,Base,Any,
Magen Defense Grid ΩΩ,,When any player activates a system that contains 1 or more of your structures,At the start of ground combat on a planet that contains 1 or more of your structures,"When any player activates a system that contains 1 or more of your structures, place 1 infantry from your reinforcements with each of those structures.
At the start of ground combat on a planet that contains 1 or more of your structures, produce 1 hit and assign it to 1 of your opponent's ground forces.",,Technology,Codex IV,Any,
Duranium Armor,,After you assign hits to your units during each combat round,,"During each combat round, after you assign hits to your units, repair 1 of your damaged units that did not use Sustain Damage during this combat round.",,Technology,Base,Any,
Assault Cannon,,At the start of a space combat in a system that contains 3 or more of your non-fighter ship,,"At the start of a space combat in a system that contains 3 or more of your non-fighter ships, your opponent must destroy 1 of their non-fighter ships",,Technology,Base,Any,
Non-Euclidian Shielding,,When 1 of your units uses SUSTAIN DAMAGE,,"When 1 of your units uses Sustain Damage, cancel 2 hits instead of 1.",,Technology,Base,Barony of Letnev,
Magmus Reactor Ω,,,,"Your ships can move into supernovas.
Each supernova that contains 1 or more of your units gains the PRODUCTION 5 ability as if it were 1 of your units.",,Technology,Base,Embers of Muaat,
Dimensional Splicer,,At the start of a space combat in a system that contains a wormhole and 1 or more of your ships,,"At the start of space combat in a system that contains a wormhole and 1 or more of your ships, you may produce 1 hit and assign it to 1 of your opponent's ships.",,Technology,Base,Ghosts of Creuss,
Valkyrie Particle Weave,,After making combat rolls during a round of ground combat,,"After making combat rolls during a round of ground combat, if your opponent produced 1 or more hits, you produce 1 additional hit.",,Technology,Base,Sardakk N’orr,
AI Development Algorithm,,When you research a unit upgrade technology,When 1 or more of your units use PRODUCTION,"When you research a unit upgrade technology, you may exhaust this card to ignore any 1 prerequisite
When 1 or more of your units use Production, you may exhaust this card to reduce the combined cost of the produced units by the number of unit upgrade technologies that you own",,Technology,Prophecy of Kings,Any,
Self Assembly Routines,,After 1 or more of your units use PRODUCTION,After 1 of your mechs is destroyed,"After 1 or more of your units use PRODUCTION, you may exhaust this card to place 1 mech from your reinforcements on a planet you control in that system
After 1 of your mechs is destroyed, gain 1 trade good",,Technology,Prophecy of Kings,Any,
Supercharge,,At the start of a combat round,,"At the start of a combat round, you may exhaust this card to apply +1 to the result of each of your unit's combat rolls during this combat round",,Technology,Prophecy of Kings,Naaz-Rokha Alliance,
Vortex,,ACTION,,ACTION: Exhaust this card to choose another player's non-structure unit in a system that is adjacent to 1 or more of your space docks. Capture 1 unit of that type from that player's reinforcements,,Technology,Prophecy of Kings,Vuil’Raith Cabal,
Carrier II,4,,,Cost=3 | Combat=9 | Move=2 | Capacity=6,,Technology,Base,Any,
Advanced Carrier II,4,,,"Cost=3 | Combat=9 | Move=2 | Capacity=8
SUSTAIN DAMAGE",,Technology,Base,Federation of Sol,
Cruiser II,8,,,Cost=2 | Combat=6 | Move=3 | Capacity=1,,Technology,Base,Any,
Saturn Engine II,8,,,"Cost=2 | Combat=6 | Move=3 | Capacity=2
SUSTAIN DAMAGE",,Technology,Prophecy of Kings,Titans of Ul,
Destroyer II,8,,,"Cost=1 | Combat=8 | Move=2 | Capacity=0
ANTI-FIGHTER BARRAGE 6(x3)",,Technology,Base,Any,
Strike Wing Alpha II,8,When this unit uses ANTI-FIGTHER BARRAGE,,"Cost=1 | Combat=7 | Move=2 | Capacity=0
ANTI-FIGHTER BARRAGE 6(x3)
When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponents infantry in the space area of the active system.",,Technology,Prophecy of Kings,Argent Flight,
Dreadnought II,5,,,"Cost=4 | Combat=5 | Move=2 | Capacity = 1
SUSTAIN DAMAGE
BOMBARDMENT 5
This unit cannot be destroyed by ""Direct Hit"" action cards.",,Technology,Base,Any,
Super-Dreadnought II,5,,,"Cost=4 | Combat=4 | Move=2 | Capacity=2
SUSTAIN DAMAGE
BOMBARDMENT 4
This unit cannot be destroyed by ""Direct Hit"" action cards.",,Technology,Base,L1Z1X mindnet,
Exotrireme II,5,After a round of space combat,,"Cost=4 | Combat=5 | Move=2 | Capacity = 1
SUSTAIN DAMAGE
BOMBARDMENT 4(x2)
This unit cannot be destroyed by ""Direct Hit"" action cards.
After a round of space combat, you may destroy this unit to destroy up to 2 ships in this system.",,Technology,Base,Sardakk N’orr,
Fighter II,10,,,"Cost=1(x2) | Combat=8 | Move=2 | Capacity=0
This unit may move without being transported.
Fighters in excess of your ships' capacity count against your fleet pool",,Technology,Base,Any,
Hybrid Crystal Fighter II,10,,,"Cost=1(x2) | Combat=7 | Move=2 | Capacity=0
This unit may move without being transported.
Each fighter in excess of your ships' capacity count as 1/2 of a ship against your fleet pool",,Technology,Base,Naalu Collective,
Infantry II,12,After this unit is destroyed,At the start of your next turn,"Cost=1(x2) | Combat=7
After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system",,Technology,Base,Any,
Spec Ops II,12,After this unit is destroyed,At the start of your next turn,"Cost=1(x2) | Combat=6
After this unit is destroyed, roll 1 die. If the result is 5 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system",,Technology,Base,Federation of Sol,
Letani Warrior II,12,After this unit is destroyed,At the start of your next turn,"Cost=1(x2) | Combat=7
After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system
PRODUCTION 2",,Technology,Base,Arborec,
Crimson Legionnaire II,12,After this unit is destroyed,At the start of your next turn,"Cost=1(x2) | Combat=7
After this unit is destroyed, gain 1 commodity or convert 1 of your commodities to a trade good. Then, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system",,Technology,Prophecy of Kings,Mahact Gene-Sorcerers,
PDS II,6,,,"PLANETARY SHIELD
SPACE CANNON 5
You may use this unit's SPACE CANNON against ships that are adjacent to this unit's system.",,Technology,Base,Any,
Hel-Titan II,6,,,"This unit is treated as both a structure and a ground force. It cannot be transported
You may use this unit's SPACE CANNON against ships that are adjacent to this unit's system
PLANETARY SHIELD
SPACE CANNON 5
SUSTAIN DAMAGE
PRODUCTION 1",,Technology,Prophecy of Kings,Titans of Ul,
Space Dock II,3,,,"This unit's PRODUCTION value is equal to 4 more than the resource value of this planet.
Up to 3 fighters in this system do not count towards your ships' capacity.
PRODUCTION X",,Technology,Base,Any,
Floating Factory II,3,,,"This unit is placed in the space area instead of on a planet.
This unit can move and retreat as if it were a ship.
If this unit is blockaded, it is destroyed
PRODUCTION 7",,Technology,Base,Clan of Saar,
Dimensional Tear II,3,,,"This system is a gravity rift; your ships do not roll for this gravity rift.
Place a dimensional tear token beneath this unit as a reminder.
Up to 12 fighters in this system do not count against your ships' capacity.
PRODUCTION 7",,Technology,Prophecy of Kings,Vuil’Raith Cabal,
War Sun,2,,,"Cost=12 | Combat=3(x3) | Move=2 | Capacity=6
Other players' units in this system lose their Planetary Shield Ability.
SUSTAIN DAMAGE
BOMBARDMENT 3(x3)",,Technology,Base,Any,
Prototype War Sun II,2,,,"Cost=10 | Combat=3(x3) | Move=3 | Capacity=6
Other players' units in this system lose their Planetary Shield Ability.
SUSTAIN DAMAGE
BOMBARDMENT 3(x3)",,Technology,Base,Embers of Muaat,
Memoria II,1,,,"Cost=8 | Combat=5(x2) | Move=2 | Capacity=6
You may treat this unit as if it were adjacent to systems that contain one or more of your mechs
SUSTAIN DAMAGE
ANTI-FIGHTER BARRAGE 5(x3)",,Technology,Prophecy of Kings,Nomad,
Carrier,4,,,Cost=3 | Combat=9 | Move=1 | Capacity=4,,Unit,Base,Any,
Advanced Carrier,4,,,Cost=3 | Combat=9 | Move=1 | Capacity=6,,Unit,Base,Federation of Sol,
Cruiser,8,,,Cost=2 | Combat=7 | Move=2 | Capacity=0,,Unit,Base,Any,
Saturn Engine,8,,,Cost=2 | Combat=7 | Move=2 | Capacity=1,,Unit,Prophecy of Kings,Titans of Ul,
Destroyer,8,,,"Cost=1 | Combat=9 | Move=2 | Capacity=0
ANTI-FIGHTER BARRAGE 9(x2)",,Unit,Base,Any,
Strike Wing Alpha,8,,,"Cost=1 | Combat=8 | Move=2 | Capacity=1
ANTI-FIGHTER BARRAGE 9(x2)",,Unit,Prophecy of Kings,Argent Flight,
Dreadnought,5,,,"Cost=4 | Combat=5 | Move=1 | Capacity=1
SUSTAIN DAMAGE
BOMBARDMENT 5",,Unit,Base,Any,
Super-Dreadnought,5,,,"Cost=4 | Combat=5 | Move=1 | Capacity=2
SUSTAIN DAMAGE
BOMBARDMENT 5",,Unit,Base,L1Z1X mindnet,
Exotrireme,5,,,"Cost=4 | Combat=5 | Move=1 | Capacity=1
SUSTAIN DAMAGE
BOMBARDMENT 4(x2)",,Unit,Base,Sardakk N’orr,
Fighter,10,,,Cost=1(x2) | Combat=9 | Move=0 | Capacity=0,,Unit,Base,Any,
Hybrid Crystal Fighter,10,,,Cost=1(x2) | Combat=8 | Move=0 | Capacity=0,,Unit,Base,Naalu Collective,
